,text,created_at,author_id,id,edit_history_tweet_ids
0,"Whether the first six months of 2022 have felt interminable or fleeting—massive hacks, data breaches, digital scams, and ransomware attacks continued apace throughout the first half of this complicated year. https://t.co/FdmbXQSPlt",2022-11-24T07:34:23.000Z,1344951,1595682225202274305,['1595682225202274305']
1,Company executives have repeatedly claimed that Amazon's warehouse robots improve worker safety. But company records show that between 2016 and 2019 serious injuries occurred more often in Amazon warehouses with robots than those without them: https://t.co/6p6LOeUTqI,2022-11-24T06:33:20.000Z,1344951,1595666862175621121,['1595666862175621121']
2,For All Mankind' does what the best science fiction has always done: humanize all the abstract ideas that serve as the genre’s foundation. https://t.co/WLTIytLSjq,2022-11-24T05:33:37.000Z,1344951,1595651833049276417,['1595651833049276417']
3,"“I wouldn’t quite call it spyware. It’s more like ‘shameware,’ and it’s just another way the church controls you.” 

Churches are using invasive phone-monitoring tech to discourage “sinful” behavior. Some software is seeing more than congregants realize. https://t.co/tRCG8eT22E",2022-11-24T04:32:22.000Z,1344951,1595636420961599489,['1595636420961599489']
4,"#BlackFriday is almost here, so when it comes to finding the best deals on holiday gifts, there's no time like the present! 🎁

Join the WIRED Deals Facebook Group for a curated feed of the best Black Friday deals straight from our Gear Team: https://t.co/gtxXaKTL3X https://t.co/n6ldQVbgGw",2022-11-24T03:31:05.000Z,1344951,1595620998333988864,['1595620998333988864']
5,"Studies show that using ‘green’ ammonia for fertilizer, fuel, and heat could drive down farming’s carbon footprint by as much as 90 percent https://t.co/x6hGXhhB1y",2022-11-24T02:20:57.000Z,1344951,1595603347641630720,['1595603347641630720']
6,"As a young Black woman, @ruha9 saw her pregnancy treated like a problem. So she ditched the doctors for home delivery and found an alternative model for health care: https://t.co/Wv9ClmTV1o",2022-11-24T01:33:04.000Z,1344951,1595591295837290499,['1595591295837290499']
7,"This frog-legged leaf beetle means business. This haunting shot was an image of distinction at this year's Small World Photomicrography Competition.

📸: Yousef Al Habshi https://t.co/L2bfDfrrAV",2022-11-24T01:00:41.000Z,1344951,1595583145923203072,['1595583145923203072']
8,"Whether you're running trails for hours at a time or just want a reminder to stand up once an hour, our Gear team has sourced a fitness tracker that's right for you. https://t.co/wfXRjEAd1m",2022-11-24T00:33:04.000Z,1344951,1595576197731454976,['1595576197731454976']
9,These predictive analytics are conquering more and more spheres of life. And yet no one has asked your permission to make such forecasts. (From 2021) https://t.co/TjQx2GcqW4,2022-11-24T00:03:04.000Z,1344951,1595568647543693313,['1595568647543693313']
10,Is this what a Thanksgiving table should look like? We have some opinions about that. (From 2018) https://t.co/HFVJmu8L7R,2022-11-23T23:33:03.000Z,1344951,1595561095095373827,['1595561095095373827']
11,"To help you figure out the best tent for your next adventure, we've pooled our favorites from years of testing—whether you're getting away for the weekend with the family or soloing Mount Whitney. https://t.co/JvAkQ4RZur",2022-11-23T23:03:03.000Z,1344951,1595553545968705536,['1595553545968705536']
12,"To mark the 60th anniversary of the Bond franchise, two new Omegas have been released that mechanically animate 007’s iconic opening sequence. https://t.co/PbzRo1HV3U",2022-11-23T22:32:07.000Z,1344951,1595545757599277057,['1595545757599277057']
13,Now is the time to create your own content. These tools can help you get great audio and video quality from the start. https://t.co/JhPhuCfXwG,2022-11-23T22:01:03.000Z,1344951,1595537942646517760,['1595537942646517760']
14,"To help you save money, we've hunted down discounts on all our favorite Apple gadgets, and more, from third-party retailers. These are the best Apple #BlackFriday deals around. https://t.co/QP0t4Vv2Yp",2022-11-23T21:33:06.000Z,1344951,1595530905661104128,['1595530905661104128']
15,"Our reviewer was admittedly skeptical of Microsoft's claims about the Xbox Game Pass Ultimate. But buying a steady stream of games for you and your family gets real expensive, real fast. 

It's safe to say he's a convert. https://t.co/eeUno41hmU

📸 Microsoft https://t.co/j80XKtZY4X",2022-11-23T21:00:29.000Z,1344951,1595522698553470977,['1595522698553470977']
16,"We dove, climbed, surfed, and handed these cameras to reckless 10-year-olds on bikes to figure out which cameras could hold up. We found a number of great options that will record, and survive, your future adventures. https://t.co/7pxfHyg8FC",2022-11-23T20:35:06.000Z,1344951,1595516310787887104,['1595516310787887104']
17,These are our favorite (and least favorite) mattresses right now. #WIREDRecommends https://t.co/c4LyueStc4,2022-11-23T20:33:04.000Z,1344951,1595515800474877953,['1595515800474877953']
18,"Join us for Cybercrime Monday on Twitter Spaces on November 28 at 9am PT / Noon ET for a discussion with @a_greenberg, WIRED journalist &amp; author of the new book Tracers In The Dark: The Global Hunt For The Crime Lords Of Cryptocurrency.

Sign up here: https://t.co/pHAZST0iyw https://t.co/hN9X2T8WSg",2022-11-23T20:15:10.000Z,1344951,1595511295733743616,['1595511295733743616']
19,The backlash against food processing is a luxury that the world can’t afford to embrace. https://t.co/dPXsPpnIig,2022-11-23T20:04:02.000Z,1344951,1595508492626010112,['1595508492626010112']
